IMAGEN,PRODUCTO,PRECIO,CATEGORIA
1.png,Agin tab c/20, $40.00 ,MEDICAMENTOS POPULARES
2.png,Agrifen, $50.00 ,MEDICAMENTOS POPULARES
3.png,Aliviax c/10 tab, $70.00 ,MEDICAMENTOS POPULARES
4.png,Aliviax c/20 tab, $80.00 ,MEDICAMENTOS POPULARES
5.png,Alkaseltzer c/100 tab, $90.00 ,MEDICAMENTOS POPULARES
6.png,Analgen c/20 tab, $100.00 ,MEDICAMENTOS POPULARES
7.png,Aspirina protec tab, $40.00 ,MEDICAMENTOS POPULARES
8.png,Aspirina c/100 tab, $50.00 ,MEDICAMENTOS POPULARES
9.png,Aspirina eferv c/60, $70.00 ,MEDICAMENTOS POPULARES
10.png,Barmicil cra 30g, $80.00 ,MEDICAMENTOS POPULARES
11.png,Bedoyecta tri 50000 iny, $90.00 ,MEDICAMENTOS POPULARES
12.png,bedoyecta cap, $100.00 ,MEDICAMENTOS POPULARES
13.png,Biolectro tabc/24 tab, $40.00 ,MEDICAMENTOS POPULARES
14.png,Buscapina Duo c/20tab, $50.00 ,MEDICAMENTOS POPULARES
15.png,Buscapina compuesta c/36tab, $70.00 ,MEDICAMENTOS POPULARES
16.png,Cafiaspirina c/100 tab, $80.00 ,MEDICAMENTOS POPULARES
17.png,Cafiaspirina forte c/24 tab, $90.00 ,MEDICAMENTOS POPULARES
18.png,Contac c/50 tab, $100.00 ,MEDICAMENTOS POPULARES
19.png,Contac c/12 tab, $40.00 ,MEDICAMENTOS POPULARES
20.png,Desenfrion AD c/24 tab, $50.00 ,MEDICAMENTOS POPULARES
21.png,Desenfriolito c/24 tab, $70.00 ,MEDICAMENTOS POPULARES
22.png,Dolver 400 c/10 tab, $80.00 ,MEDICAMENTOS POPULARES
23.png,Dolver 600mg c/10 tab, $90.00 ,MEDICAMENTOS POPULARES
24.png,Dolver 800mg c/10 tab, $100.00 ,MEDICAMENTOS POPULARES
25.png,Dramamine c/24 tab, $40.00 ,MEDICAMENTOS POPULARES
26.png,Duals nordin c/20 tab, $50.00 ,MEDICAMENTOS POPULARES
27.png,Edegra  de 50mg c/10, $70.00 ,MEDICAMENTOS POPULARES
28.png,Edegra  de 100mg c/20, $80.00 ,MEDICAMENTOS POPULARES
29.png,Flanax 500mg c/12, $90.00 ,MEDICAMENTOS POPULARES
30.png,Flanax 500mg c/30, $100.00 ,MEDICAMENTOS POPULARES
31.png,Graneodin c/24 tab, $40.00 ,MEDICAMENTOS POPULARES
32.png,Lomotil c/ 8 tab, $50.00 ,MEDICAMENTOS POPULARES
33.png,Lomotil c/ 8 tab, $70.00 ,MEDICAMENTOS POPULARES
34.png,Mejoralitos c/30 tab, $80.00 ,MEDICAMENTOS POPULARES
35.png,Melox c/50 tab, $90.00 ,MEDICAMENTOS POPULARES
36.png,Mucoalgin c/16 tab, $100.00 ,MEDICAMENTOS POPULARES
37.png,Novaxen c/45 tab , $40.00 ,MEDICAMENTOS POPULARES
38.png,Neomelubrina c/100, $50.00 ,MEDICAMENTOS POPULARES
39.png,Neomelubrina c/10, $70.00 ,MEDICAMENTOS POPULARES
40.png,Nex c/10 tab, $80.00 ,MEDICAMENTOS POPULARES
41.png,Nex c/20 tab, $90.00 ,MEDICAMENTOS POPULARES
42.png,Sarox Omeprazol c/28, $100.00 ,MEDICAMENTOS POPULARES
43.png,Omeprazol c/30, $40.00 ,MEDICAMENTOS POPULARES
44.png,Paracetamol c/100, $50.00 ,MEDICAMENTOS POPULARES
45.png,Paracetamol c/100, $70.00 ,MEDICAMENTOS POPULARES
46.png,Paracetamol 650 c/24 tab, $80.00 ,MEDICAMENTOS POPULARES
47.png,Pentrexyl con 28 tab, $90.00 ,MEDICAMENTOS POPULARES
48.png,Peptobismol c/24, $100.00 ,MEDICAMENTOS POPULARES
49.png,Peptobismol c/100, $40.00 ,MEDICAMENTOS POPULARES
50.png,Prodolina c/10, $50.00 ,MEDICAMENTOS POPULARES
